features,segments,NB,KNN,SVM-Linear,SVM-RBF,LogReg,RF
BoW,full text,0.6208057907704625,/,0.7236399480174311,/,0.7616515567440015,0.6337651843202889
Fasttext,full text,0.6679233114337955,0.7424078000984682,0.7978729917418415,0.8029823383617988,0.7953545265902513,0.740601560093301
BERT-German,first segment,0.6342930387555882,0.7341504882135543,0.8067469761585405,0.8151748615336757,0.8138403327683614,0.732332770212574
BERT-German,last segment,0.6130156947845723,0.7393739542505594,0.8043450402753851,0.8087835733999935,0.8043286998417585,0.73164867547328
BERT-German,all segments,0.6594967594878444,0.7400503979212102,0.8109318505056308,0.8146216555348087,0.805547797114617,0.7327810093348299
BERT-Multilingual,first segment,0.5313040394867896,0.7017006678607025,0.7977084985972829,0.795330075143206,0.782502711304934,0.7001478836936487
BERT-Multilingual,last segment,0.5407520547216933,0.7094774431894534,0.7864172761675736,0.7872004576583501,0.7804915744263441,0.7025799294144679
BERT-Multilingual,all segments,0.6031512540763583,0.7138433586363568,0.7956554698809655,0.7961836274786451,0.7810352827205971,0.7017218892363305
